Rank,Title,Year,Geek_Rating,Avg_Rating,Num_Voters,URL
521,Tiny Towns,2019,6.985,7.18,22355,https://boardgamegeek.com/boardgame/265736/tiny-towns
522,Flip 7,2024,6.983,7.22,21400,https://boardgamegeek.com/boardgame/420087/flip-7
523,Millennium Blades,2016,6.979,7.65,5703,https://boardgamegeek.com/boardgame/151347/millennium-blades
524,Bruxelles 1893,2013,6.978,7.59,5868,https://boardgamegeek.com/boardgame/144592/bruxelles-1893
525,PitchCar,1995,6.976,7.28,11716,https://boardgamegeek.com/boardgame/150/pitchcar
526,Wavelength,2019,6.975,7.20,18215,https://boardgamegeek.com/boardgame/262543/wavelength
527,Civilization,1980,6.974,7.49,7691,https://boardgamegeek.com/boardgame/71/civilization
528,Unmatched: Little Red Riding Hood vs. Beowulf,2020,6.972,8.06,3638,https://boardgamegeek.com/boardgame/325635/unmatched-little-red-riding-hood-vs-beowulf
529,Woodcraft,2022,6.972,7.58,6150,https://boardgamegeek.com/boardgame/355093/woodcraft
530,Evolution: Climate,2016,6.971,7.44,8568,https://boardgamegeek.com/boardgame/182134/evolution-climate
531,High Society,1995,6.971,7.20,16400,https://boardgamegeek.com/boardgame/220/high-society
532,Black Orchestra,2016,6.971,7.49,7370,https://boardgamegeek.com/boardgame/156858/black-orchestra
533,Fresco,2010,6.969,7.24,13576,https://boardgamegeek.com/boardgame/66188/fresco
534,MicroMacro: Crime City – Full House,2021,6.969,7.63,5319,https://boardgamegeek.com/boardgame/338834/micromacro-crime-city-full-house
535,Santa Maria,2017,6.968,7.45,7513,https://boardgamegeek.com/boardgame/229220/santa-maria
536,Magical Athlete,2025,6.968,7.88,4251,https://boardgamegeek.com/boardgame/454103/magical-athlete
537,Through the Desert,1998,6.967,7.19,16388,https://boardgamegeek.com/boardgame/503/through-the-desert
538,Flash Point: Fire Rescue,2011,6.967,7.14,25360,https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue
539,Here I Stand,2006,6.965,7.88,4037,https://boardgamegeek.com/boardgame/17392/here-i-stand
540,Mythic Battles: Pantheon,2017,6.964,8.30,3454,https://boardgamegeek.com/boardgame/186751/mythic-battles-pantheon
541,Sword & Sorcery: Immortal Souls,2017,6.963,7.87,5397,https://boardgamegeek.com/boardgame/170771/sword-and-sorcery-immortal-souls
542,Sprawlopolis,2018,6.963,7.27,12543,https://boardgamegeek.com/boardgame/251658/sprawlopolis
543,Trekking Through History,2022,6.963,7.51,6680,https://boardgamegeek.com/boardgame/353288/trekking-through-history
544,Kingsburg,2007,6.962,7.17,20108,https://boardgamegeek.com/boardgame/27162/kingsburg
545,Bohnanza,1997,6.961,7.08,51194,https://boardgamegeek.com/boardgame/11/bohnanza
546,Space Hulk (Third Edition),2009,6.961,7.53,7236,https://boardgamegeek.com/boardgame/54625/space-hulk-third-edition
547,The Lord of the Rings: The Confrontation,2005,6.961,7.51,6741,https://boardgamegeek.com/boardgame/18833/the-lord-of-the-rings-the-confrontation
548,Nippon,2015,6.960,7.62,5285,https://boardgamegeek.com/boardgame/154809/nippon
549,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,6.959,7.55,6529,https://boardgamegeek.com/boardgame/204305/sherlock-holmes-consulting-detective-jack-the-ripp
550,Commands & Colors: Napoleonics,2010,6.958,8.04,3534,https://boardgamegeek.com/boardgame/62222/commands-and-colors-napoleonics
551,Macao,2009,6.958,7.40,7667,https://boardgamegeek.com/boardgame/55670/macao
552,Reign of Cthulhu,2016,6.956,7.36,11042,https://boardgamegeek.com/boardgame/192153/reign-of-cthulhu
553,No Thanks!,2004,6.956,7.08,30518,https://boardgamegeek.com/boardgame/12942/no-thanks
554,Stockpile,2015,6.954,7.42,7769,https://boardgamegeek.com/boardgame/161614/stockpile
555,Fire in the Lake,2014,6.953,8.07,3343,https://boardgamegeek.com/boardgame/144189/fire-in-the-lake
556,Colt Express,2014,6.952,7.10,35279,https://boardgamegeek.com/boardgame/158899/colt-express
557,Mice and Mystics,2012,6.951,7.20,20512,https://boardgamegeek.com/boardgame/124708/mice-and-mystics
558,Clash of Cultures,2012,6.949,7.56,5951,https://boardgamegeek.com/boardgame/40765/clash-of-cultures
559,Fantastic Factories,2019,6.946,7.41,7954,https://boardgamegeek.com/boardgame/216600/fantastic-factories
560,Skymines,2022,6.945,7.92,3646,https://boardgamegeek.com/boardgame/359438/skymines
561,Mandala,2019,6.945,7.43,7149,https://boardgamegeek.com/boardgame/264241/mandala
562,Citadels,2016,6.944,7.23,17183,https://boardgamegeek.com/boardgame/205398/citadels
563,Barcelona,2023,6.943,7.72,4523,https://boardgamegeek.com/boardgame/383607/barcelona
564,Unmatched Game System,2019,6.942,8.23,2925,https://boardgamegeek.com/boardgame/295564/unmatched-game-system
565,The Manhattan Project,2012,6.942,7.31,10145,https://boardgamegeek.com/boardgame/63628/the-manhattan-project
566,Undaunted: North Africa,2020,6.942,7.75,4586,https://boardgamegeek.com/boardgame/290359/undaunted-north-africa
567,Claustrophobia,2009,6.941,7.46,7176,https://boardgamegeek.com/boardgame/36932/claustrophobia
568,Dawn of the Zeds (Third Edition),2016,6.941,8.14,3101,https://boardgamegeek.com/boardgame/175095/dawn-of-the-zeds-third-edition
569,Regicide,2020,6.941,7.39,8730,https://boardgamegeek.com/boardgame/307002/regicide
570,Lancaster,2011,6.941,7.38,7908,https://boardgamegeek.com/boardgame/96913/lancaster
571,Heroscape Master Set: Rise of the Valkyrie,2004,6.940,7.45,8428,https://boardgamegeek.com/boardgame/11170/heroscape-master-set-rise-of-the-valkyrie
572,Men-Nefer,2024,6.940,8.17,2929,https://boardgamegeek.com/boardgame/404431/men-nefer
573,Hadara,2019,6.940,7.38,8145,https://boardgamegeek.com/boardgame/269144/hadara
574,Dune,1979,6.940,7.58,6008,https://boardgamegeek.com/boardgame/121/dune
575,Zombie Kidz Evolution,2018,6.939,7.57,6183,https://boardgamegeek.com/boardgame/256952/zombie-kidz-evolution
576,Advanced Squad Leader,1985,6.937,8.01,3948,https://boardgamegeek.com/boardgame/243/advanced-squad-leader
577,Thunderstone Quest,2018,6.937,7.72,4817,https://boardgamegeek.com/boardgame/215341/thunderstone-quest
578,Aquatica,2019,6.936,7.35,8465,https://boardgamegeek.com/boardgame/283393/aquatica
579,Glen More,2010,6.936,7.29,9492,https://boardgamegeek.com/boardgame/66362/glen-more
580,Black Rose Wars,2019,6.935,7.89,4371,https://boardgamegeek.com/boardgame/239942/black-rose-wars
581,Next Station: London,2022,6.934,7.42,7361,https://boardgamegeek.com/boardgame/353545/next-station-london
